"user","timestamp","x","y","z","class"
"24c9","2000-01-01 12:00:10",1.1707647,8.415619,-0.92416185,"train"
"24c9","2000-01-01 12:00:10",0.6607997,7.9032598,0.02873042,"train"
"24c9","2000-01-01 12:00:10",0.16759412,7.773973,0.7254431,"train"
"24c9","2000-01-01 12:00:10",-0.25378537,8.195353,1.0223241,"train"
"24c9","2000-01-01 12:00:10",-0.4261679,9.212888,1.0366893,"train"
"24c9","2000-01-01 12:00:10",-0.49320555,10.093954,0.90261406,"train"
"24c9","2000-01-01 12:00:10",-0.6560113,10.965444,0.6488287,"train"
"24c9","2000-01-01 12:00:10",-0.7589619,11.774684,0.33997664,"train"
"24c9","2000-01-01 12:00:10",-0.6536171,12.53604,0.016759412,"train"
"24c9","2000-01-01 12:00:10",-0.2705448,13.280637,-0.31124622,"train"
"24c9","2000-01-01 12:00:10",0.2825158,13.76666,-0.6488287,"train"
"24c9","2000-01-01 12:00:10",1.0606314,13.9198885,-1.0534488,"train"
"24c9","2000-01-01 12:00:10",1.4532804,13.958196,-1.2473791,"train"
"24c9","2000-01-01 12:00:10",1.9081788,13.905523,-1.4077905,"train"
"24c9","2000-01-01 12:00:10",1.9273324,13.496115,-1.2425907,"train"
"24c9","2000-01-01 12:00:11",1.8794483,12.588713,-0.9959879,"train"
"24c9","2000-01-01 12:00:11",1.5275006,11.449073,-0.6751649,"train"
"24c9","2000-01-01 12:00:11",1.2282255,10.357317,-0.2633622,"train"
"24c9","2000-01-01 12:00:11",0.6967127,9.126697,0.2681506,"train"
"24c9","2000-01-01 12:00:11",-0.019153614,7.7907324,0.62249243,"train"
"24c9","2000-01-01 12:00:11",-0.093373865,7.3525934,0.81881696,"train"
"24c9","2000-01-01 12:00:11",0.4237737,7.273585,0.94810385,"train"
"24c9","2000-01-01 12:00:11",0.5554548,6.9958572,1.4221559,"train"
"24c9","2000-01-01 12:00:11",0.40222588,6.7133417,1.8722657,"train"
"24c9","2000-01-01 12:00:11",0.17956513,6.588843,2.3295584,"train"
"24c9","2000-01-01 12:00:11",0.06943185,6.555324,2.6001031,"train"
"24c9","2000-01-01 12:00:11",0.05746084,6.4763155,2.5929205,"train"
"24c9","2000-01-01 12:00:11",0.14844051,6.5026517,2.3870192,"train"
"24c9","2000-01-01 12:00:11",0.37349546,6.6870055,2.3415294,"train"
"24c9","2000-01-01 12:00:11",0.6368576,7.026982,2.4372973,"train"
"24c9","2000-01-01 12:00:12",0.6607997,7.489063,2.6048915,"train"
"24c9","2000-01-01 12:00:12",0.17717093,8.1163435,2.6623523,"train"
"24c9","2000-01-01 12:00:12",-0.24420857,8.736442,2.7820623,"train"
"24c9","2000-01-01 12:00:12",0.6560113,8.827422,3.016694,"train"
"24c9","2000-01-01 12:00:12",1.1827357,8.750807,2.9879637,"train"
"24c9","2000-01-01 12:00:12",0.9888053,8.932767,3.1435869,"train"
"24c9","2000-01-01 12:00:12",0.6847417,9.212888,3.181894,"train"
"24c9","2000-01-01 12:00:12",0.5554548,9.488221,3.1747115,"train"
"24c9","2000-01-01 12:00:12",0.49081135,9.662998,3.169923,"train"
"24c9","2000-01-01 12:00:12",0.1604115,9.849746,3.193865,"train"
"24c9","2000-01-01 12:00:12",0.39743748,9.718064,3.2202013,"train"
"24c9","2000-01-01 12:00:12",0.7182605,9.516952,3.2345665,"train"
"24c9","2000-01-01 12:00:12",1.3694834,9.138668,3.2992098,"train"
"24c9","2000-01-01 12:00:12",2.1332338,8.748413,3.5075054,"train"
"24c9","2000-01-01 12:00:12",2.3247697,8.635885,3.6224272,"train"
"24c9","2000-01-01 12:00:13",2.468422,8.523358,3.5984852,"train"
"24c9","2000-01-01 12:00:13",2.3319526,8.37013,3.4883518,"train"
"24c9","2000-01-01 12:00:13",1.8171991,8.293514,3.2393548,"train"
"24c9","2000-01-01 12:00:13",1.2186487,8.511387,2.8538885,"train"
"24c9","2000-01-01 12:00:13",1.3239936,8.860941,2.585738,"train"
"24c9","2000-01-01 12:00:13",1.553837,9.212888,2.5761611,"train"
"24c9","2000-01-01 12:00:13",1.8076223,9.406818,2.6048915,"train"
"24c9","2000-01-01 12:00:13",2.1499932,9.49301,2.6408045,"train"
"24c9","2000-01-01 12:00:13",2.6264393,9.603143,2.7246015,"train"
"24c9","2000-01-01 12:00:13",2.8754363,9.514558,2.8060043,"train"
"24c9","2000-01-01 12:00:13",3.0334535,9.287108,2.8395233,"train"
"24c9","2000-01-01 12:00:13",2.9879637,9.059659,2.8299465,"train"
"24c9","2000-01-01 12:00:13",2.96881,8.913613,2.873042,"train"
"24c9","2000-01-01 12:00:13",2.9137435,8.829816,2.9640217,"train"
"24c9","2000-01-01 12:00:13",2.8658595,8.631097,3.1004913,"train"
"24c9","2000-01-01 12:00:14",2.80361,8.355764,3.2034419,"train"
"24c9","2000-01-01 12:00:14",2.657564,8.087613,3.1842883,"train"
"24c9","2000-01-01 12:00:14",2.4995465,7.845799,3.1651347,"train"
"24c9","2000-01-01 12:00:14",2.1212628,7.386112,3.1771057,"train"
"24c9","2000-01-01 12:00:14",1.5729905,7.015011,3.1986535,"train"
"24c9","2000-01-01 12:00:14",1.3335704,6.7612257,3.1866825,"train"
"24c9","2000-01-01 12:00:14",1.3072342,6.600814,3.122039,"train"
"24c9","2000-01-01 12:00:14",1.1085154,6.4427967,3.0095115,"train"
"24c9","2000-01-01 12:00:14",0.8643068,6.2991447,2.9640217,"train"
"24c9","2000-01-01 12:00:14",0.78529817,6.1985884,3.0095115,"train"
"24c9","2000-01-01 12:00:14",0.7254431,6.208165,3.0693667,"train"
"24c9","2000-01-01 12:00:14",0.6512229,6.361394,3.0909145,"train"
"24c9","2000-01-01 12:00:14",0.5722142,6.588843,3.1004913,"train"
"24c9","2000-01-01 12:00:14",0.50038815,6.9120603,3.1004913,"train"
"24c9","2000-01-01 12:00:14",0.5650316,7.2927384,3.1771057,"train"
"24c9","2000-01-01 12:00:15",0.7637503,7.714118,3.2369606,"train"
"24c9","2000-01-01 12:00:15",0.9959879,8.123527,3.3207579,"train"
"24c9","2000-01-01 12:00:15",1.2665327,8.53054,3.4284968,"train"
"24c9","2000-01-01 12:00:15",1.5729905,8.92319,3.550601,"train"
"24c9","2000-01-01 12:00:15",1.3814543,9.25359,3.5673606,"train"
"24c9","2000-01-01 12:00:15",1.946486,9.325416,3.5984852,"train"
"24c9","2000-01-01 12:00:15",1.9488802,9.464279,3.667917,"train"
"24c9","2000-01-01 12:00:15",1.9081788,9.753978,3.6104562,"train"
"24c9","2000-01-01 12:00:15",2.4181437,9.986216,3.4811692,"train"
"24c9","2000-01-01 12:00:15",3.3183637,10.022128,3.4883518,"train"
"24c9","2000-01-01 12:00:15",4.086902,9.92636,3.6008794,"train"
"24c9","2000-01-01 12:00:15",4.3287168,9.835381,3.550601,"train"
"24c9","2000-01-01 12:00:15",4.6016555,9.758766,3.394978,"train"
"24c9","2000-01-01 12:00:15",4.867412,9.751583,3.2010477,"train"
"24c9","2000-01-01 12:00:15",5.1547165,9.837775,2.9735985,"train"
"24c9","2000-01-01 12:00:16",5.195418,9.921572,2.9257145,"train"
"24c9","2000-01-01 12:00:16",5.2265425,10.113108,2.8562827,"train"
"24c9","2000-01-01 12:00:16",5.171476,10.364499,2.8107927,"train"
"24c9","2000-01-01 12:00:16",4.9320555,10.644621,2.585738,"train"
"24c9","2000-01-01 12:00:16",4.6040497,10.97502,2.291251,"train"
"24c9","2000-01-01 12:00:16",4.3382936,11.36767,2.1667526,"train"
"24c9","2000-01-01 12:00:16",3.9911342,12.088325,2.3630772,"train"
"24c9","2000-01-01 12:00:16",3.9624038,12.873623,2.7102363,"train"
"24c9","2000-01-01 12:00:16",3.8115692,13.65892,2.741361,"train"
"24c9","2000-01-01 12:00:16",3.691859,14.554352,2.360683,"train"
"24c9","2000-01-01 12:00:16",3.095703,15.914259,1.4652514,"train"
"24c9","2000-01-01 12:00:16",2.291251,17.044321,0.91458505,"train"
"24c9","2000-01-01 12:00:16",1.2473791,18.330008,0.8451532,"train"
"24c9","2000-01-01 12:00:16",0.32561144,19.02672,1.6112977,"train"
"24c9","2000-01-01 12:00:16",-0.5434838,17.707516,3.4691982,"train"
"24c9","2000-01-01 12:00:17",-0.35194764,14.820108,4.525041,"train"
"24c9","2000-01-01 12:00:17",0.011971008,11.774684,4.8506527,"train"
"24c9","2000-01-01 12:00:17",0.14844051,9.677363,4.6806645,"train"
"24c9","2000-01-01 12:00:17",0.10534488,8.061277,4.2784386,"train"
"24c9","2000-01-01 12:00:17",0.34715924,7.374141,3.9959226,"train"
"24c9","2000-01-01 12:00:17",0.93613285,7.086837,3.7445314,"train"
"24c9","2000-01-01 12:00:17",1.4173675,6.945579,3.4596214,"train"
"24c9","2000-01-01 12:00:17",1.9081788,6.921637,3.1124623,"train"
"24c9","2000-01-01 12:00:17",2.147599,6.991069,2.7030537,"train"
"24c9","2000-01-01 12:00:17",2.0685902,7.043741,2.219425,"train"
"24c9","2000-01-01 12:00:17",1.8483237,7.1490865,1.6663644,"train"
"24c9","2000-01-01 12:00:17",1.8818425,7.228095,1.0582372,"train"
"24c9","2000-01-01 12:00:17",1.757344,7.2592196,0.60812724,"train"
"24c9","2000-01-01 12:00:17",1.5298948,7.371747,0.32321724,"train"
"24c9","2000-01-01 12:00:17",1.3120226,7.6135616,0.2777274,"train"
"24c9","2000-01-01 12:00:18",1.2378023,7.8170686,0.30166942,"train"
"24c9","2000-01-01 12:00:18",1.2425907,8.149862,0.33997664,"train"
"24c9","2000-01-01 12:00:18",1.2449849,8.350976,0.34476504,"train"
"24c9","2000-01-01 12:00:18",1.1563994,8.406042,0.38067806,"train"
